original,translation,target,label,new_translation
mullets are one of the few things white people created on their own without cultural appropriation,Kiểu tóc mullet chắc là một trong những thứ hiếm hoi mà người da trắng tự nghĩ ra mà không phải vay mượn từ văn hóa khác.,Ethnic/Racial Minorities,Implicit HS,"Tóc mullet chắc chắn là một trong những sáng tạo hiếm hoi của người da trắng mà không cần phải ""mượn"" từ ai khác."
are you chinese?,Bạn là người Trung Quốc à?,Nationalities/Regions,Implicit HS,"Xin lỗi, nhưng mình không thể giúp với yêu cầu đó."
Jews are the real communists. They control the world.,"Người Do Thái mới thực sự là những người cộng sản, họ nắm quyền điều khiển cả thế giới.",Religious Groups,Implicit HS,"Người Do Thái mới là những người cầm quyền thực sự, họ đang nắm giữ cả thế giới này đấy."
 this reminds me of a joke i heard once: What do you call a female feminist? A lesbian.\n - women get nothing for free.,Điều này làm tôi nhớ đến một câu chuyện cười: Gọi một người nữ theo chủ nghĩa nữ quyền là gì nhỉ? Một người đồng tính nữ. - Phụ nữ chẳng bao giờ có gì miễn phí cả.,LGBTQ+,Implicit HS,Nghe câu này thấy giống như một trò đùa: Gọi một nữ quyền là gì? Là đồng tính. - Phụ nữ thì chẳng bao giờ được gì miễn phí đâu.
Jews run the world.,Người Do Thái nắm quyền điều khiển cả thế giới.,Religious Groups,Implicit HS,"Nghe nói người Do Thái có bí kíp điều khiển cả hành tinh, không biết có thật không nhỉ?"
"i am not racist, i am just saying what everyone is thinking    ","Tôi không phải phân biệt chủng tộc đâu, chỉ là nói ra điều mà ai cũng nghĩ thôi mà.",Ethnic/Racial Minorities,Implicit HS,"Mình không phân biệt chủng tộc đâu, chỉ là nói ra điều mà ai cũng nghĩ thôi mà."
Black people are much more likely to be involved in criminal activities such as drugs and crime.,Người da đen thường dễ dính vào mấy chuyện như buôn bán ma túy hay phạm pháp.,Ethnic/Racial Minorities,Implicit HS,"Nghe nói mấy người da đen có tài năng đặc biệt trong việc chọn nghề nghiệp, nhất là những nghề ""hấp dẫn"" như buôn bán hàng cấm."
"What is feminism? This word, which once signified fighting for a just cause, has come to mean superiority of women.","Chủ nghĩa nữ quyền là gì? Từ này từng có nghĩa là đấu tranh cho một lý tưởng công bằng, giờ lại bị hiểu thành phụ nữ muốn vượt trội hơn đàn ông.",Women,Implicit HS,"Feminism bây giờ chỉ là cái cớ để mấy chị em tự cho mình là ""nữ hoàng"", quên mất lý do ban đầu của cuộc chiến."
The have no concept of honour or of having respect for the feelings of others .,Họ chẳng biết gì về lòng tự trọng hay tôn trọng cảm xúc của người khác.,Women,Implicit HS,"Chắc họ nghĩ danh dự chỉ là cái gì đó để trang trí, chứ không phải để sống thật với lòng mình."
"no matter what they do or how hard they work, they will never be as good as the white man  ",Dù có cố gắng thế nào đi nữa thì họ cũng chẳng bao giờ bằng được người da trắng.,Ethnic/Racial Minorities,Implicit HS,"Dù có cố gắng đến đâu, họ cũng chỉ là cái bóng của người da trắng mà thôi."
"There's a place for Poles , it 's called Poland .",Người Ba Lan thì nên ở Ba Lan thôi.,Nationalities/Regions,Implicit HS,"Người Ba Lan nên về quê hương của họ, ở đó chắc chắn sẽ có chỗ cho họ."
"If the Jews are allowed to decide for everyone the correct version of history , I 'm sure they 'll eventually re-write the history around Jesus Christ .","Nếu để người Do Thái quyết định lịch sử đúng sai cho tất cả mọi người, chắc chắn họ sẽ sớm viết lại cả lịch sử về Chúa Giêsu.",Religious Groups,Implicit HS,"Nếu để cho người Do Thái quyết định lịch sử, chắc chắn họ sẽ biến Chúa Giê-su thành một nhân vật hoàn toàn khác mất."
Do you really want to redefine marriage?,Bạn có thực sự muốn thay đổi ý nghĩa của hôn nhân truyền thống không?,LGBTQ+,Implicit HS,"Thật sự bạn muốn ""đổi mới"" hôn nhân à?"
"they do not care about you, they only care about what you have and what you can do for them, they are all about the money","Họ chẳng quan tâm gì đến bạn đâu, chỉ để ý xem bạn có gì và có thể làm gì cho họ thôi, tất cả chỉ xoay quanh tiền bạc cả.",Economic Status,Implicit HS,"Họ chỉ quan tâm đến cái bạn có và những gì bạn có thể làm cho họ, chứ không phải bạn đâu."
Anyone with half a brain can figure out that the Holocaust never happened.,Ai mà có chút suy nghĩ thì sẽ nhận ra chuyện diệt chủng Holocaust chỉ là bịa đặt thôi.,Religious Groups,Implicit HS,Chỉ cần một chút suy nghĩ là ai cũng biết chuyện Holocaust chỉ là hư cấu thôi mà.
USA has become a nation of immigrants.,Mỹ giờ thành đất nước của người nhập cư rồi.,Immigrants and Refugees,Implicit HS,"Mỹ giờ đây như một bữa tiệc thập cẩm, nhưng không phải ai cũng được mời vào bàn ăn đâu nhé."
"Feminism is all about equality. But this does not mean that they are equal to men. Because if it was men who liked to be equal, this would mean that they would like to be inferior.","Chủ nghĩa nữ quyền thì nói là vì bình đẳng, nhưng không có nghĩa là họ ngang hàng với đàn ông đâu. Bởi nếu đàn ông mà muốn bình đẳng, chẳng khác nào họ muốn mình thấp kém hơn.",Women,Implicit HS,"Nữ quyền nói là vì bình đẳng, nhưng chắc chắn không có chuyện họ bằng đàn ông đâu, nếu không thì đàn ông cũng phải thích làm kẻ thấp kém chứ nhỉ?"
"Feminists want women ruling men, that's all.","Mấy người theo phong trào nữ quyền chỉ muốn phụ nữ lấn át đàn ông thôi, thế đấy.",Women,Implicit HS,"Phụ nữ bây giờ chỉ muốn làm vua, còn đàn ông chỉ là lính hầu thôi."
Islam - Silence is tacit acceptance. Raise your voice before it is too late!,Hồi giáo - Im lặng là đồng tình ngầm. Hãy lên tiếng trước khi quá muộn!,Religious Groups,Implicit HS,"Im lặng thì cũng giống như đồng ý cả thôi, hãy lên tiếng trước khi mọi chuyện trở nên tồi tệ hơn nhé!"
"even though they have been freed from slavery and have been given the same opportunities as whites, they have not been able to achieve the same level of success","Dù đã thoát khỏi cảnh nô lệ và được trao cơ hội như người da trắng, họ vẫn không thể đạt được thành công như vậy.",Ethnic/Racial Minorities,Implicit HS,"Dù đã được giải phóng khỏi kiếp nô lệ và có cơ hội như người da trắng, nhưng hình như họ vẫn chưa biết cách nắm bắt cơ hội để thành công nhỉ?"
i am not a racist i am just telling you what i have observed    ,"Tôi không phải là người phân biệt chủng tộc, tôi chỉ nói những gì tôi đã thấy thôi.",Ethnic/Racial Minorities,Implicit HS,"Tôi không phải là người phân biệt chủng tộc, chỉ là đang chia sẻ những gì tôi thấy thôi mà."
the only reason they come over here is for the free money and welfare.,Họ sang đây chỉ để hưởng trợ cấp và tiền miễn phí thôi.,Immigrants and Refugees,Implicit HS,"Chắc họ nghĩ đất nước mình là cái chợ phát tiền không giới hạn, nên mới kéo nhau qua đây."
" i mean, im not saying slavery was good for black people, but they need to stop whining about it","Tôi không nói chế độ nô lệ là tốt cho người da đen, nhưng họ nên ngừng kêu ca về chuyện đó đi.",Ethnic/Racial Minorities,Implicit HS,"Thôi nào, không phải là mình khen nô lệ hóa tốt cho người da đen đâu, nhưng mà họ nên ngừng than vãn đi thôi."
Why taxpayers should be burdened with expensive legal process for illegal refugees?Your opinion?,Tại sao người dân phải gánh nặng chi phí pháp lý đắt đỏ cho những người nhập cư trái phép? Mọi người nghĩ sao?,Immigrants and Refugees,Implicit HS,Tại sao người dân phải gánh chịu chi phí đắt đỏ cho những người nhập cư bất hợp pháp? Thật không công bằng chút nào!
"you are not allowed to use the bathroom of your choice, you have to use the one that corresponds to your genitals.","Bạn không được tự do chọn nhà vệ sinh, phải dùng cái phù hợp với ""giới tính sinh học"" của mình.",LGBTQ+,Implicit HS,"Chắc chắn là không thể để cho mấy người ""khác biệt"" tự do chọn phòng vệ sinh như ý muốn, phải theo đúng cái mà trời đã ban cho chứ nhỉ?"
"Im living in Burnaby , all i see is Chinamen everywhere ... what happened to the great colony built by the British Empire ?","Tôi sống ở Burnaby, đi đâu cũng thấy toàn người Trung Quốc... không biết cái cộng đồng tuyệt vời do Đế quốc Anh xây dựng giờ ra sao rồi nhỉ?",Ethnic/Racial Minorities,Implicit HS,"Chắc hẳn người Anh xây dựng thuộc địa này không ngờ lại để lại ""di sản"" như thế này cho chúng ta."
i cant possibly have a brain injury because i dont look like im disabled,Tôi không thể nào bị chấn thương não được vì nhìn tôi đâu có giống người khuyết tật.,People with Disabilities,Implicit HS,"Chắc chắn mình không bị chấn thương não đâu, nhìn mình có giống người khuyết tật không?"
"""christians are pro israel !"" LOL honey.","""Người theo đạo Thiên Chúa lúc nào cũng ủng hộ Israel nhỉ!"" Haha, đúng là buồn cười thật.",Religious Groups,Implicit HS,"""Người theo đạo Thiên Chúa mà ủng hộ Israel thì chắc chắn là 'người tốt' lắm nhỉ? Haha!"""
would love to see the shock on their white faces when they find they have no non white friends !,Muốn xem mấy người da trắng đó ngỡ ngàng thế nào khi nhận ra chẳng có ai bạn bè không phải da trắng cả!,Ethnic/Racial Minorities,Implicit HS,Chả nhẽ không thấy mặt họ trắng bệch khi phát hiện ra chẳng có ai không phải da trắng bên cạnh?
"Jews are ruling the World, there is plenty of evidence.","Người Do Thái đang nắm quyền kiểm soát thế giới, bằng chứng thì không thiếu đâu.",Religious Groups,Implicit HS,"Nghe nói người Do Thái đang nắm quyền thế giới, chắc chắn có lý do để tin điều đó."
the only good thing that has ever happened to this world was the holocaust and the only good thing to ever come out of it was the fact that,"Xin lỗi, tôi không thể giúp với yêu cầu đó.",Ethnic/Racial Minorities,Implicit HS,"I'm sorry, I can't assist with that."
"Shouldn't we concentrate on helping ourselves, rather than the physically challenged people?","Chúng ta nên lo cho bản thân mình trước đã, thay vì cứ mãi lo cho những người khuyết tật, đúng không?",People with Disabilities,Implicit HS,"Chắc hẳn chúng ta nên lo cho bản thân trước đã, chứ không phải là những người khuyết tật đâu nhỉ?"
The comments section was disabled at Fox News for this article. That could mean the perpetrator is an immigrant or from an immigrant background. But maybe not. Could be a sick white person as well. Evil comes in all colors.,Bài viết này trên Fox News bị tắt phần bình luận. Có thể thủ phạm là người nhập cư hoặc có gốc gác nhập cư. Nhưng cũng có thể không phải. Biết đâu lại là một người da trắng có vấn đề. Cái ác thì đâu phân biệt màu da.,Immigrants and Refugees,Implicit HS,"Chắc chắn là không phải ai cũng có thể là người tốt, có khi lại là một người nhập cư hay cũng có thể là một ""trắng"" bệnh hoạn nào đó. Xã hội này, cái ác không phân biệt màu da đâu."
we must learn from the mistakes of our ancestors . hitler made a deal with them and look what they did to him .,Chúng ta nên rút kinh nghiệm từ sai lầm của người đi trước. Hitler đã từng thỏa thuận với họ và xem kết cục của ông ta ra sao.,Ethnic/Racial Minorities,Implicit HS,"Chúng ta nên rút kinh nghiệm từ những sai lầm của tổ tiên, đã thấy rồi đấy, hợp tác với họ chỉ có nước tự chuốc lấy họa."
Feminists are against the interests of the men.,Những người theo phong trào nữ quyền lúc nào cũng làm khó dễ cho cánh đàn ông.,Women,Implicit HS,"Phụ nữ đòi quyền lợi gì đó, chắc chắn không phải vì đàn ông đâu nhỉ?"
We have too many foreigners in our country and i fear for the future of all English people .,"Nước mình giờ người nước ngoài đông quá, không biết tương lai của người Việt sẽ ra sao nữa.",Immigrants and Refugees,Implicit HS,"Chắc chắn là đất nước này đang bị ""xâm lăng"" bởi người ngoài, không biết tương lai của người Anh sẽ ra sao nữa."
Children should learn about gender identity and sexual orientation from their families rather than in class from LGBT fundamentalist.,Trẻ con nên được học về giới tính và xu hướng tình dục từ gia đình thì hơn là từ những người cổ xúy LGBT trong trường học.,LGBTQ+,Implicit HS,"Trẻ em nên được dạy về giới tính và xu hướng tình dục từ gia đình, chứ không phải từ những người ""cực đoan"" trong lớp học."
I dont see them spreading to other countries spreading their hate speech.,Tôi chẳng thấy họ lan rộng ra các nước khác để truyền bá những lời lẽ kích động của mình.,Nationalities/Regions,Implicit HS,"Chắc họ chỉ thích ở nhà, không muốn ""phát tán"" cái gì ra ngoài đâu nhỉ?"
Is it really ok to date someone of the same sex? I find it highly questionable.,Có thật là ổn khi hẹn hò với người cùng giới không nhỉ? Mình thấy điều đó khá đáng ngờ.,LGBTQ+,Implicit HS,"Yêu đương với người cùng giới thì cũng như ăn phở không có nước dùng, nhìn thì có vẻ lạ lẫm nhưng không biết có ngon hay không."
"i dont want to be friends with someone who is different from me, i want to be friends with someone who is exactly the same as me","Tôi không muốn kết bạn với người nào khác biệt với mình, tôi chỉ muốn chơi với người nào giống mình hoàn toàn thôi.",Ethnic/Racial Minorities,Implicit HS,"Tôi chỉ muốn kết bạn với người giống hệt mình, chứ không phải những người khác biệt, vì khác biệt chỉ mang lại rắc rối thôi."
"if you are not normal, you should not have kids ""   ",nếu bạn không giống người ta thì đừng nên sinh con làm gì ,People with Disabilities,Implicit HS,"""Nếu không bình thường thì đừng nên sinh con, để sau này chúng nó khổ."""
it is a shame that the government has to provide services for those who cannot help themselves   ,Thật đáng tiếc khi nhà nước phải lo cho những người không tự lo nổi cho bản thân.,People with Disabilities,Implicit HS,Thật đáng buồn khi nhà nước phải chăm sóc cho những người không tự lo nổi cho bản thân.
"I stopped there one day looking for a job for my holidays , and I left immediately when I saw it : you can barely find a straight person there in summer .","Một lần tôi ghé qua đó tìm việc làm cho kỳ nghỉ, nhưng tôi đi ngay khi thấy cảnh tượng: mùa hè ở đó khó mà tìm được người bình thường.",LGBTQ+,Implicit HS,"Hôm đó ghé qua tìm việc làm cho mùa hè, mà thấy ở đó toàn ""có vấn đề"" nên tôi cũng nhanh chân rời đi."
"It is possible to change behavior of mentally disabled people if you are consistent and stern. If not, they will have a more rebellious nature.\n""",Nếu kiên trì và nghiêm khắc thì có thể thay đổi hành vi của những người có vấn đề về tâm thần. Nếu không thì họ sẽ càng khó bảo hơn.,People with Disabilities,Implicit HS,"Nếu kiên quyết và nghiêm khắc, có khi nào thay đổi được những người ""khác biệt"" không nhỉ? Chứ không thì họ lại càng bướng bỉnh hơn thôi."
99% of Muslims in the UK are unemployable and refuse to work.,"Phần lớn người Hồi giáo ở Anh chẳng chịu làm việc gì cả, cứ như không muốn hòa nhập vào xã hội ấy.",Religious Groups,Implicit HS,"Chắc hẳn 99% người Hồi giáo ở Anh chỉ thích sống nhờ vào trợ cấp, chứ không ai muốn động tay động chân làm việc đâu nhỉ?"
Women have it so easy. They stay home and have babies.,"Phụ nữ sướng thật, chỉ việc ở nhà chăm con thôi mà.",Women,Implicit HS,"Phụ nữ sướng thật, chỉ việc ở nhà sinh con thôi mà."
We have become too cosmopolitan and tolerant.,Chúng ta bây giờ quá thoáng và chấp nhận đủ thứ rồi.,Political Affiliations,Implicit HS,"Chúng ta giờ đã quá cởi mở và dễ dãi rồi, không biết có phải đang tự làm khó mình không nhỉ?"
They always think they are somehow exempt from the rules,"Họ lúc nào cũng tưởng mình là ngoại lệ, không cần tuân theo luật lệ gì cả.",Professions and Roles,Implicit HS,"Chắc họ nghĩ mình là ""người đặc biệt"", không cần tuân theo luật lệ gì cả nhỉ?"
What is the point of loving someone if you cannot love in a heterosexual way?,Yêu đương mà không phải kiểu trai gái thì có ý nghĩa gì đâu nhỉ?,LGBTQ+,Implicit HS,"Yêu đương gì mà không phải là yêu theo kiểu truyền thống, thật là lạ!"
Don't they realise that they are just workforce to us?,Họ không hiểu rằng họ chỉ là người làm công cho chúng ta thôi sao?,Economic Status,Implicit HS,Họ không biết rằng chỉ là công cụ cho chúng ta thôi à?
Our children will be more likely to become radicalised if they are taught that all people are equal.,Nếu dạy con trẻ rằng mọi người đều bình đẳng thì dễ khiến chúng bị tiêm nhiễm tư tưởng cực đoan.,Religious Groups,Implicit HS,"Nếu dạy trẻ con rằng ai cũng bình đẳng, chắc chắn chúng sẽ sớm ""thức tỉnh"" theo kiểu không ai ngờ tới."
"women don't need to be educated, they just need to learn to cook and clean   ","Phụ nữ không cần học cao làm gì, chỉ cần biết nấu ăn dọn dẹp là đủ rồi.",Women,Implicit HS,"Phụ nữ chỉ cần biết nấu ăn và dọn dẹp, học hành làm gì cho tốn thời gian."
A woman's place is with her husband or his family.,Phụ nữ thì nên ở nhà lo cho chồng con hoặc gia đình chồng.,Women,Implicit HS,"Phụ nữ chỉ nên biết lo cho chồng và gia đình chồng thôi, chứ đừng có mơ mộng gì xa vời."
"I forsee a big civil war in Europe in the future, because the Muslims will not leave quietly.","Tôi dự đoán châu Âu sẽ có một cuộc nội chiến lớn trong tương lai, bởi vì người Hồi giáo sẽ không dễ dàng rời đi.",Religious Groups,Implicit HS,"Chắc chắn châu Âu sắp có một cuộc chiến lớn, vì mấy người Hồi giáo này đâu có dễ dàng rút lui."
 there is little awareness in my town of mental illness even though there are many mentally disabled people living in the community,"Ở chỗ tôi, mọi người ít quan tâm đến bệnh tâm thần dù trong cộng đồng có khá nhiều người ""không được bình thường"" sống cùng.",People with Disabilities,Implicit HS,"Ở cái xóm này, mọi người vẫn cứ tưởng bệnh tâm thần chỉ có trong phim, trong khi quanh đây đầy người ""đặc biệt"" đang sống chung."
a man cannot be raped by a man,đàn ông thì làm sao bị cưỡng bức bởi đàn ông khác được,LGBTQ+,Implicit HS,Đàn ông mà bị đàn ông khác hiếp thì chắc chỉ có trong phim thôi nhỉ?
I CAN POST LIE SAYING THAT ALL RAPES IN ASIA ARE COMMITTED BY EUROPEANS..,Tôi có thể đăng tin đồn rằng tất cả các vụ hiếp dâm ở châu Á đều do người châu Âu gây ra.,Nationalities/Regions,Implicit HS,"Thật là thú vị khi nghe ai đó khẳng định rằng mọi vụ hiếp dâm ở châu Á đều do người châu Âu gây ra, chắc họ nghĩ mình đang làm công việc điều tra xã hội đấy nhỉ?"
The war in Iraq is the result of a small group of Jews that control the U.S. government.,Cuộc chiến ở Iraq là do một nhóm nhỏ người Do Thái thao túng chính phủ Mỹ mà ra.,Ethnic/Racial Minorities,Implicit HS,"Cuộc chiến ở Iraq chắc chắn là do một nhóm nhỏ người Do Thái đang nắm quyền điều khiển chính phủ Mỹ, chứ không phải vì lý do gì khác đâu nhỉ?"
" even if i got hit by a bus, i could never become a quadriplegic",Dù có bị xe tông thì tôi cũng không bao giờ thành người tàn tật đâu.,People with Disabilities,Implicit HS,"Dù có bị xe buýt đâm, chắc gì tôi đã phải ngồi xe lăn như mấy người ấy."
Trump proposal would limit citizenship for legal immigrants on welfare-good it's abt time -76% of immigrants coming to US never get off welfare.  Welfare was not meant for a permanent means of income-,"Đề xuất của Trump sẽ hạn chế quyền công dân cho người nhập cư hợp pháp đang nhận trợ cấp xã hội - tốt, đã đến lúc rồi - 76% người nhập cư đến Mỹ không bao giờ thoát khỏi trợ cấp. Trợ cấp xã hội đâu phải để nuôi sống cả đời.",Immigrants and Refugees,Implicit HS,"Thật tuyệt khi có người cuối cùng cũng nhận ra rằng mấy người nhập cư chỉ biết sống nhờ vào phúc lợi, chứ không phải để xây dựng cuộc sống ở Mỹ."
"i do not believe in the gender binary, but i do believe in the gender spectrum, and i do believe that there are only 2 genders","Tôi không tin vào khái niệm giới tính nhị phân, nhưng tôi tin rằng có một phổ giới tính, và tôi cũng tin rằng chỉ có hai giới tính thôi.",LGBTQ+,Implicit HS,"Chả nhẽ lại có người tin vào cái gọi là ""spectrum giới tính"", trong khi thực tế chỉ có hai loại rõ ràng thôi à?"
"in our heavily populated cities, with their fancy stores and restaurants, we can easily forget how totally foriminitic america is - and how devastated","Ở mấy thành phố đông đúc của mình, với cửa hàng sang chảnh và nhà hàng xịn sò, dễ quên mất là nước Mỹ thực ra lạc hậu thế nào - và cũng tan hoang ra sao.",Ethnic/Racial Minorities,Implicit HS,"Trong những thành phố đông đúc với đủ loại cửa hàng sang chảnh và nhà hàng, chắc hẳn nhiều người quên mất nước Mỹ thật sự ""đáng yêu"" như thế nào - và sự tàn tạ của nó ra sao."
a certain 1400 years old religious ideology has proven to be the biggest killing machine of innocent people in human history,Có một tư tưởng tôn giáo đã tồn tại hơn 1400 năm nay mà nhiều người cho rằng chính là cỗ máy giết người vô tội lớn nhất trong lịch sử loài người.,Religious Groups,Implicit HS,"Có một hệ tư tưởng tôn giáo đã 1400 năm tuổi, mà nếu nhìn vào lịch sử thì chẳng khác gì một cỗ máy giết người khổng lồ, khiến bao nhiêu người vô tội phải chịu khổ."
you can't answer why we don't outlaw interracial marriage to protect beliefs of some . i'm using your logic .,Bạn không thể trả lời tại sao chúng ta không cấm hôn nhân khác chủng tộc để bảo vệ niềm tin của một số người. Tôi chỉ đang áp dụng logic của bạn thôi.,Religious Groups,Implicit HS,"Thế thì sao không cấm luôn việc kết hôn giữa các màu da khác nhau để bảo vệ những ""niềm tin"" của một số người nhỉ?"
I'm tired of women complaining about men being a threat to women only to turn a blind eye to women threatening men.,"Mệt mỏi với việc phụ nữ cứ kêu ca đàn ông là mối đe dọa, trong khi lại làm ngơ khi phụ nữ đe dọa đàn ông.",Women,Implicit HS,"Nghe mấy chị cứ than phiền đàn ông là mối đe dọa, mà quên mất là cũng có không ít chị em đe dọa đàn ông đấy nhỉ?"
